instruction,intent,OOD
I'd like to cancel my ticket for the game in this city how canm i do it,cancel_ticket,No
"I have to cancel my ticket for the event in this town, where to do it?",cancel_ticket,No
I have to cancel my ticket for the show i need help,cancel_ticket,No
How could i cancel  my tickets for the show in this city,cancel_ticket,No
Wanna cancel my ticket for the show in this town how to do it,cancel_ticket,No
Could i cancel my ticket for the show in this city,cancel_ticket,No
Wanna cancel my ticket for the concert will ya help me,cancel_ticket,No
Wana cancel my tickets,cancel_ticket,No
Would it be possible to cancel my ticket?,cancel_ticket,No
Id like to cancel my tickets for the game in this city could i get some help,cancel_ticket,No
How do I cancel my ticket?,cancel_ticket,No
Help me cancel my ticket for the concert in this town,cancel_ticket,No
Need to cancel my ticket for the concert in this town where could i do it,cancel_ticket,No
"I'd like to cancel my tickets for th event, how can I do it?",cancel_ticket,No
I want asisstance cancelling my tickets for the event in this city,cancel_ticket,No
"I want to cancel my tickets for the gaem in this city, can you help me?",cancel_ticket,No
Need to cancel my ticket for the show in this city how to do it,cancel_ticket,No
I got to cancel my tickets for the event how could i do it,cancel_ticket,No
I need to cancel my tickets for the show in this town,cancel_ticket,No
I got to cancel my ticket for the game in this city where do i do it,cancel_ticket,No
"I have to cancel my ticket for the event in this town, can you hepl me?",cancel_ticket,No
"I need to cancel my ticket for the show in this town, how could I do it?",cancel_ticket,No
I'd like to cancel my tickets for the show in this city i need help,cancel_ticket,No
"I got to cancel my ticket for the game, where do I do it?",cancel_ticket,No
I need assistance canceling my tickets for the game in this town,cancel_ticket,No
"I would like to cancel my fucknig tickets for the event, how can I do it?",cancel_ticket,No
I'd like to cancel my tickets for the show in thiscity how to do it,cancel_ticket,No
Wanna cancel my ticket for the concert could i get some help,cancel_ticket,No
"I need to cancel my ticket for the event in this city, can you help me?",cancel_ticket,No
"I would like to cancel my ticket for the game, were do I do it?",cancel_ticket,No
Could uhelp me cancel my tickets for the event,cancel_ticket,No
I got to cancel my tickets for the game in these town could i get some help,cancel_ticket,No
"I'd like to cancel my tickets for the hsow in this town, help me",cancel_ticket,No
How could i cancel my tickets for the concert in  this town,cancel_ticket,No
"I'd like to cancel my ticket for the show in this city, help me",cancel_ticket,No
"I need tocancel my ticket for the concert, could I get some help?",cancel_ticket,No
"I got to cancel my ticket for the event ni this city, where could I do it?",cancel_ticket,No
"I'd like to cancel my ticket for the concert in this town, how do I do it?",cancel_ticket,No
How do i cancel my tickets for the concert,cancel_ticket,No
I'd like to cancel my ticket for the show where do i do it,cancel_ticket,No
Need to cancel my ticket for the show where do i do it,cancel_ticket,No
"I want to cancel my tickets for the event in this city, I need help",cancel_ticket,No
I want help canceling my ticket for the show in this city,cancel_ticket,No
I have to cancel my ticket for the concert in this city help me,cancel_ticket,No
I have to cancel my ticket for the event in this city help me,cancel_ticket,No
"I want to cancel my tickets for the event in this town, can you help me?",cancel_ticket,No
"I need to cancel my ticket for the concert in this town, how to do it?",cancel_ticket,No
I want to cancel my ticket for the ocncert in this town,cancel_ticket,No
I got to cancel my ticket for the event where do i do it,cancel_ticket,No
"I would like to cancel my ticket for the game in this city, where colud I do it?",cancel_ticket,No
I'd like to cancel my ticket for the game can ya help me,cancel_ticket,No
I need to cancel my ticket for the concert in this city,cancel_ticket,No
"I would like to cancel my ticket for the event,  could you help me?",cancel_ticket,No
"I gor to cancel my tickets for the game, can I get some help?",cancel_ticket,No
Need to cancel my tickets can i get some help,cancel_ticket,No
"I'd like to cancel my ticket for the event in this city, where could I do it?",cancel_ticket,No
"I want to cancel my ticket for the game, I need assistance",cancel_ticket,No
"I'd like to cancel my tickets flr the concert in this town, I need help",cancel_ticket,No
"I'd like to cancel my ticket for the  event, will you help me?",cancel_ticket,No
Wanna cancel my tickets for the game where can i do it,cancel_ticket,No
"I want to cancel my ticket for the show, how to do it?",cancel_ticket,No
I'd like to cancel my tickets for the game in this city will uhelp me,cancel_ticket,No
"I have to cancel my ticket for the concert in this city, I need help",cancel_ticket,No
I haev to cancel my tickets for the show in this city can uhelp me,cancel_ticket,No
Wanna cancel my ticket for the show in this city can i get some help,cancel_ticket,No
I want assistance cancelling my ticket for the eventg,cancel_ticket,No
Can uhelp me cancelling my ticket for the show in this town,cancel_ticket,No
"I'd like to cancel my ticket fr the game, help me",cancel_ticket,No
I'd like to cancel my ticket for the show where to do it,cancel_ticket,No
"I have to cancel my ticket for the event in this town, where can I do it?",cancel_ticket,No
Need tp cancel my tickets for the game where can i do it,cancel_ticket,No
I want to cancel my tickets for the event in this city,cancel_ticket,No
How do I cancel my fukcing ticket for the event?,cancel_ticket,No
I want help canceling my ticket,cancel_ticket,No
"I would like to cancel my ticket for the game in this town, can I get some help?",cancel_ticket,No
I have to cancel my ticket for the concert in this city how can i do it,cancel_ticket,No
"I need to cancel my tckets for the game, how do I do it?",cancel_ticket,No
Id like to cancel my tickets for the show in this city how can i do it,cancel_ticket,No
"I got to cancel my tickets for the event in  this city, I need help",cancel_ticket,No
"I got to cancel my tickets for the event, can I get some help?",cancel_ticket,No
How can I cancel my tickets?,cancel_ticket,No
I have to cancel my ticket for the game in this city will ya help me,cancel_ticket,No
Help me cancel my ticket for the concert in this city,cancel_ticket,No
I'd like to cancel my tickets for the game how can i do it,cancel_ticket,No
"I want to cancel my tickets for theshow, will you help me?",cancel_ticket,No
Wanna cancel my ticket for the show in these town where can i do it,cancel_ticket,No
I want assistamce to cancel my ticket for the event in this city,cancel_ticket,No
I want help cancelling my ticket for the event in  this town,cancel_ticket,No
I need assistance canceling my tickets for the event,cancel_ticket,No
Wanna cancel my ticket for the concert could i get soe help,cancel_ticket,No
Wanna cancel myticket for the concert in this city will uhelp me,cancel_ticket,No
Can you help me cancel my tickets for the show ?,cancel_ticket,No
I'd like to cancel my ticket for the event in this city where can i do it,cancel_ticket,No
Wanna cancelp my ticket for the event,cancel_ticket,No
I need to cancel my ticketfor the game in this city,cancel_ticket,No
Id like to cancel ym tickets for the game in this city how can i do it,cancel_ticket,No
I got to cancel my tickets for the concert in this city ineed assistance,cancel_ticket,No
"I have to cancel my tickets for the show in this city, could I get some help ?",cancel_ticket,No
